Year	gentile	alberto veronesi	martins	antonio di pietro	enrico mentana	niccolò pollari	vittorio corsi	hubert soudant	andreotti	luigi
1948	0.274420	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.349517	0.265755
1949	0.162815	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.121537	0.245185
1950	0.201857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.373932	0.299018
1951	0.136787	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.297774	0.306875
1952	0.299780	0.000000	0.159343	0.000000	0.000000	0.000000	0.000000	0.000000	0.295779	0.242320
1953	0.206730	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.289475	0.276653
1954	0.144187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.190043	0.220586
1955	0.132569	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.166807	0.272753
1956	0.168020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092738	0.279068
1957	0.119542	0.000000	0.206735	0.000000	0.000000	0.000000	0.000000	0.000000	0.064690	0.236061
1958	0.143319	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.143053	0.249101
1959	0.074021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.032168	0.254993
1960	0.181711	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.218180	0.291247
1961	0.141130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051657	0.242594
1962	0.183533	0.000000	0.034408	0.000000	0.000000	0.000000	0.000000	0.000000	0.245216	0.163556
1963	0.044812	0.000000	0.098030	0.000000	0.000000	0.000000	0.000000	0.000000	0.099139	0.240568
1964	0.139666	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.198361	0.291570
1965	0.181183	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.184789	0.282892
1966	0.063880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.227852	0.266349
1967	0.217878	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.192998	0.283997
1968	0.144612	0.000000	0.095533	0.000000	0.000000	0.000000	0.000000	0.000000	0.250998	0.283497
1969	0.255724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.134253	0.394572
1970	0.183725	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.062303	0.253605
1971	0.185590	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.097232	0.178687
1972	0.164107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.129449	0.187339
1973	0.103188	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038717	0.260170
1974	0.071158	0.000000	0.252043	0.000000	0.000000	0.000000	0.000000	0.000000	-0.064260	0.246885
1975	0.077427	0.000000	0.195060	0.000000	0.000000	0.000000	0.000000	0.000000	0.079783	0.281519
1976	0.219619	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.063234	0.287450
1977	0.253039	0.000000	-0.048809	0.000000	0.000000	0.000000	0.000000	0.000000	0.071178	0.080626
1978	0.170939	0.000000	0.000000	0.000000	0.000000	0.000000	0.186258	0.511877	0.034169	0.174623
1979	0.219188	0.000000	0.231252	0.000000	0.000000	0.000000	0.000000	0.000000	0.025449	0.188118
