Year	pettoello	albertinl	lisandria	cronique	alutto	schiattino	sampò	oriano	g.s.bcrn	fighera
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.000000	0.339934	0.000000	0.000000	0.279247	0.000000	0.133004	0.000000	0.000000	0.000000
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.000000	0.550062	0.000000	0.000000	0.000000	0.178710	0.000000	0.000000	0.000000	0.000000
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.000000	0.433389	0.000000	0.000000	0.000000	0.456141	0.474430	0.000000	0.000000	0.738898
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.000000	0.000000	0.000000	0.000000	0.000000	0.364374	0.360998	0.000000	0.453780	0.000000
1975	0.000000	0.000000	0.000000	0.000000	0.000000	0.191576	0.230592	0.000000	0.251127	0.212597
1976	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333845	0.284286	0.739485	0.000000
1977	0.024957	0.000000	0.000000	0.000000	0.000000	0.000000	0.305075	0.129241	0.037617	0.000000
1978	0.760916	0.758954	0.758709	0.752455	0.748033	0.000000	0.457047	0.740074	0.000000	0.438999
1979	0.000000	0.000000	0.000000	0.367112	0.000000	0.367335	0.469567	0.327445	0.000000	0.395024
1980	0.331848	0.000000	0.000000	0.000000	0.275751	0.000000	0.364994	0.270929	0.000000	0.356719
1981	0.000000	0.000000	0.000000	0.000000	0.277738	0.000000	0.398537	0.274573	0.000000	0.325917
1982	0.000000	0.000000	0.000000	0.000000	0.367302	0.000000	0.433138	0.325506	0.000000	0.000000
1983	0.252154	0.340040	0.000000	0.000000	0.000000	0.271632	0.424639	0.171475	0.000000	0.143263
1984	0.000000	0.472545	0.000000	0.000000	0.000000	0.744292	0.428016	0.000000	0.000000	0.000000
1985	0.000000	0.253903	0.000000	0.000000	0.000000	0.000000	0.354865	0.380428	0.000000	0.043471
1986	0.000000	0.256512	0.000000	0.000000	0.000000	0.255351	0.414916	0.000000	0.000000	0.143181
1987	0.000000	0.282970	0.000000	0.000000	0.241035	0.000000	0.457799	0.000000	0.000000	-0.078733
1988	0.000000	0.154831	0.000000	0.000000	0.000000	0.000000	0.773311	-0.020551	0.000000	0.097198
1989	0.000000	0.000000	0.000000	0.000000	0.290440	0.000000	0.712535	0.000000	0.000000	0.079794
1990	0.000000	0.000000	0.000000	0.000000	0.313276	0.000000	0.302980	0.191910	0.000000	0.118262
1991	0.000000	0.000000	0.103885	0.000000	0.348820	0.000000	0.140064	0.113806	0.000000	0.495129
1992	0.000000	0.000000	0.000000	0.000000	0.485443	0.000000	0.395248	0.104175	0.000000	0.000000
1993	0.000000	0.000000	0.000000	0.000000	0.279411	0.000000	0.354803	0.049582	0.000000	0.000000
1994	0.000000	0.000000	0.000000	0.000000	0.290075	0.000000	0.440278	0.139607	0.000000	0.445613
1995	0.000000	0.000000	0.000000	0.000000	0.209884	0.000000	0.203875	0.202582	0.000000	0.324428
1996	0.000000	0.000000	0.000000	0.000000	0.362862	0.000000	0.339506	0.023373	0.000000	0.000000
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.251638	0.265493	0.000000	0.290963
2001	0.000000	0.000000	0.000000	0.000000	0.292161	0.000000	0.233436	0.000000	0.000000	0.324348
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
