Year	presidium	3077	3464	4369	2272	6463	6173	8078	malagodi	118.500
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.118604	0.000000	0.000000	0.000000	0.471842	0.000000	0.462443	0.553429	-0.025494	0.000000
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.438820	0.448146	0.000000	0.437953	0.400564	0.000000	0.471587	0.413629	0.336130	0.000000
1960	0.822030	0.819354	0.816064	0.811652	0.808424	0.808241	0.807673	0.803304	0.138163	0.801258
1961	0.191845	0.000000	0.000000	0.720715	0.664104	0.687608	0.629372	0.650897	0.163069	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.225896	0.000000	0.348252	0.490209	0.517064	0.515636	0.000000	0.000000	0.068792	0.000000
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.416880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.241322	0.000000
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.208492	0.000000	0.000000	0.000000	0.100436	0.000000	0.000000	0.113613	-0.012318	0.000000
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.137712	0.000000	0.000000	0.347566	0.347434	0.000000	0.000000	0.000000	0.305425	0.000000
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.341230	0.000000	0.000000	0.000000	0.325936	0.000000	0.000000	0.000000	0.115808	0.000000
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.089636	0.163377	0.000000	0.000000	-0.052240	0.000000	0.000000	0.062252	0.175939	0.000000
1989	0.092001	0.000000	0.000000	0.000000	0.119292	0.000000	0.000000	0.000000	0.163756	0.000000
1990	-0.020887	0.000000	0.000000	0.000000	0.252997	0.000000	0.000000	0.000000	0.209753	0.000000
1991	0.013126	0.052891	0.000000	0.000000	-0.054942	0.000000	0.000000	0.000000	0.084690	0.000000
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	-0.017153	0.000000	0.000000	0.000000	0.088041	0.000000	0.000000	0.000000	0.134111	0.000000
1995	0.052356	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.176315	0.000000
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.072950	0.000000	0.102140	0.000000	0.000000	0.000000	0.086108	0.000000	0.285113	0.000000
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
