Year	inciampata	felicity	goldoni	elissa	•madame	kapital	lassander	valentinetti	locandiera	stacy
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.000000	0.000000	0.467740	0.000000	0.000000	0.000000	0.000000	0.000000	0.525947	0.000000
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.000000	0.000000	0.473179	0.466451	0.000000	0.000000	0.344612	0.234015	0.678145	0.380057
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.162007	0.476886	0.427005	0.000000	0.000000	0.665877	0.380584	0.367100	0.453011	0.499021
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.058044	0.000000	0.448964	0.000000	0.334635	0.000000	0.000000	0.000000	0.523606	0.242245
1987	-0.007317	0.443650	0.449537	0.000000	0.244849	0.000000	0.328670	0.000000	0.408266	0.393747
1988	0.122768	0.689823	0.444792	0.000000	0.669735	0.290961	0.475620	0.000000	0.533513	0.664232
1989	0.146207	0.370941	0.404177	0.000000	0.000000	0.000000	0.665730	0.565463	0.403442	0.505282
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	-0.005500	0.203428	0.398023	0.677087	0.000000	0.000000	0.471175	0.665441	0.569167	0.269097
1992	-0.009730	0.000000	0.496120	0.427526	0.000000	0.000000	0.000000	0.000000	0.656385	0.291062
1993	0.138449	0.153967	0.520609	0.205180	0.000000	0.000000	0.000000	0.000000	0.655362	0.363202
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.454943	0.231879	0.428037	0.232700	0.000000	0.000000	0.000000	0.244870	0.591777	0.197355
1996	0.731441	0.000000	0.322704	0.000000	0.000000	0.000000	0.000000	0.484072	0.662672	0.218426
1997	0.109105	0.000000	0.479817	0.271882	0.000000	0.000000	0.000000	0.254723	0.460451	0.257771
1998	0.195318	0.000000	0.521766	0.000000	0.000000	0.000000	0.000000	0.000000	0.666118	0.246775
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.069154	0.000000	0.450126	0.000000	0.000000	0.000000	0.000000	0.055660	0.740054	0.116289
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
