Year	viale	aldo perla	gaetano zini lamberti	dolanc	44s	giuseppe imbò	benvenuto	ollietti	giovanni campanelli	bertot
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.006848	0.000000	0.000000	0.000000	0.000000	0.000000	0.050917	0.000000	0.000000	0.336373
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.145584	0.000000	0.000000	0.000000	0.000000	0.000000	0.309740	0.370216	0.000000	0.341514
1970	0.104856	0.000000	0.000000	0.000000	0.745780	0.743375	0.167252	0.740761	0.000000	0.734283
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.111877	0.000000	0.000000	0.615029	0.000000	0.000000	0.270126	0.445158	0.000000	0.298182
1973	0.190464	0.778323	0.000000	0.759835	0.000000	0.000000	0.187430	0.000000	0.736166	0.243147
1974	0.209475	0.538020	0.773028	0.000000	0.000000	0.000000	0.061458	0.000000	0.000000	0.186967
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.175453	0.516857	0.000000	0.000000	0.000000	0.000000	0.208745	0.000000	0.000000	0.185184
1979	0.035806	0.000000	0.000000	0.199571	0.000000	0.000000	0.191173	0.000000	0.000000	0.242426
1980	0.040673	0.384861	0.000000	0.000000	0.000000	0.000000	0.338088	0.000000	0.000000	0.359467
1981	0.160040	0.089528	0.000000	0.000000	0.000000	0.000000	0.241353	0.000000	0.000000	0.101965
1982	0.039261	0.186840	0.000000	0.000000	0.000000	0.000000	0.261602	0.000000	0.000000	0.145179
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
