Year	﻿generatori	5061	9464	9116	belkacem	tolef	.£	7556	vlarengo	teltf
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.000000	0.529599	0.469551	0.501971	0.274993	0.472099	0.393612	0.000000	0.543206	0.000000
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.803621	0.801110	0.795314	0.794904	0.793992	0.793058	0.791719	0.791505	0.790437	0.790391
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.000000	0.000000	0.000000	0.000000	0.392201	0.000000	0.309095	0.000000	0.000000	0.000000
1971	0.000000	0.591533	0.000000	0.000000	0.000000	0.000000	0.485764	0.000000	0.000000	0.000000
1972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.378668	0.000000	0.000000	0.000000
1973	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.406695	0.000000	0.000000	0.000000
1974	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.307294	0.000000	-0.115505	0.000000
1975	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.346841	0.000000	0.335309	0.000000
1976	0.000000	0.263065	0.000000	0.000000	0.000000	0.000000	0.459175	0.000000	0.359565	0.000000
1977	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.347591	0.000000	0.000000	0.000000
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.000000	0.000000	0.000000	0.000000	0.328389	0.000000	0.501236	0.000000	0.000000	0.000000
1981	0.000000	0.000000	0.000000	0.000000	0.175084	0.000000	0.170685	0.000000	0.084886	0.000000
1982	0.000000	0.000000	0.000000	0.000000	0.254833	0.000000	0.089300	0.000000	0.296424	0.000000
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
