Year	branchini	fiore	aloisio	missino di primavalle	piero fassino	orlandi	benvenuto	mancini	paco casal	berlinguer
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.408512	0.121272	0.230183	0.000000	0.000000	0.479000	0.068131	0.405368	0.000000	0.540836
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.227025	0.293025	0.204766	0.000000	0.000000	0.240136	0.151399	0.327505	0.000000	0.382981
1969	0.224476	-0.034270	0.000000	0.000000	0.000000	0.306836	0.338691	0.266892	0.000000	0.279828
1970	0.168714	-0.054960	0.123625	0.000000	0.000000	0.215627	0.167638	0.406351	0.000000	0.297189
1971	0.345275	0.143766	0.259256	0.000000	0.000000	0.438575	0.416058	0.412722	0.000000	0.430126
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.300161	0.114595	0.225143	0.749780	0.000000	0.318601	0.432614	0.336880	0.000000	0.323469
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.460218	-0.040719	0.433512	0.000000	0.742672	0.307432	0.290883	0.301727	0.000000	0.188666
1976	0.233229	0.040952	0.195763	0.000000	0.000000	0.203801	0.162465	0.252876	0.000000	0.119275
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.255926	-0.062762	0.260539	0.000000	0.000000	0.287410	0.135084	0.234124	0.000000	0.136332
1983	0.190048	-0.169078	0.069215	0.000000	0.332581	0.074373	0.136125	0.047127	0.000000	0.111859
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.382972	-0.254862	0.048355	0.000000	0.339356	0.178695	0.141991	0.212875	0.000000	-0.046539
1988	0.233903	-0.074418	0.195343	0.000000	0.000000	0.178106	0.103662	0.256937	0.000000	0.026506
1989	0.206166	-0.090961	0.106048	0.000000	0.169135	0.027364	0.082777	0.226503	0.000000	0.083454
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.169121	0.043964	0.187463	0.000000	0.100810	0.036684	0.112358	0.126783	0.728394	0.068283
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.000000	-0.069725	0.073299	0.000000	0.000000	0.189571	-0.068506	0.380994	0.471784	0.127819
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
