Year	arch	atra	immensità	unatras	ultrasinistra	arvàngia	articolista	usuraio	associassion	ltalgas
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.584800	0.419503	0.566269	0.000000	0.643622	0.000000	0.580662	0.570580	0.380727	0.618779
1988	0.646599	0.347765	0.486863	0.000000	0.502813	0.000000	0.756257	0.109607	0.523983	0.565094
1989	0.516963	0.417405	0.570464	0.000000	0.420843	0.000000	0.417117	0.327764	0.341610	0.445621
1990	0.580437	0.448597	0.394671	0.000000	0.425978	0.000000	0.612963	0.375987	0.280795	0.474726
1991	0.493114	0.557363	0.289189	0.000000	0.430888	0.387355	0.566220	0.248498	0.231851	0.533318
1992	0.411525	0.524536	0.376394	0.405718	0.453560	0.338932	0.470295	0.344026	0.248071	0.415566
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.804196	0.786849	0.776747	0.763812	0.762164	0.756985	0.692173	0.445213	0.754253	0.752786
1995	0.460910	0.477926	0.318619	0.508789	0.389808	0.000000	0.566864	0.271373	0.418951	0.432258
1996	0.512859	0.533482	0.420926	0.386708	0.323872	0.420986	0.489282	0.313219	0.435703	0.432383
1997	0.662069	0.563406	0.484436	0.179628	0.518876	0.340123	0.564834	0.349858	0.607275	0.561585
1998	0.629560	0.675452	0.515141	0.309197	0.356260	0.000000	0.480442	0.358558	0.406427	0.359892
1999	0.390642	0.558050	0.508652	0.168085	0.417840	0.000000	0.493624	0.180808	0.397073	0.452433
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.572199	0.655825	0.315902	0.000000	0.411219	0.000000	0.412713	0.610405	0.447532	0.586306
2002	0.403333	0.510872	0.507570	0.000000	0.484923	0.000000	0.587660	0.445048	0.527764	0.504364
2003	0.537994	0.620165	0.628716	0.000000	0.613742	0.000000	0.522211	0.673284	0.458881	0.312160
2004	0.318668	0.505294	0.613239	0.000000	0.440332	0.000000	0.528964	0.587338	0.432501	0.000000
2005	0.365635	0.278917	0.498364	0.000000	0.372032	0.000000	0.000000	0.754372	0.347944	0.580260
