Year	cordova	adinolfi	guido lo forte	pietro grasso	bonaudo	gerardo d’ ambrosio	gerardo d' ambrosio	agostino cordova	mariano gagliano	piero luigi vigna
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.448057	0.000000	0.000000	0.000000	0.346340	0.000000	0.000000	0.000000	0.000000	0.233759
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.393503	0.257852	0.400223	0.460555	0.340670	0.000000	0.487184	0.463627	0.000000	0.371399
1995	0.445637	0.254045	0.752218	0.000000	0.196502	0.000000	0.818600	0.000000	0.000000	0.522490
1996	0.532641	0.276821	0.592336	0.328604	0.457413	0.477430	0.690956	0.665698	0.701907	0.727666
1997	0.447687	0.324808	0.775416	0.000000	0.408158	0.585872	0.790111	0.566867	0.592586	0.591468
1998	0.461609	0.233798	0.630107	0.000000	0.340169	0.314828	0.728348	0.592652	0.531471	0.517994
1999	0.110244	0.191808	0.513032	0.542982	0.133250	0.460364	0.512335	0.000000	0.499664	0.358018
2000	0.381641	0.394643	0.000000	0.384641	0.288936	0.407211	0.468791	0.000000	0.554569	0.533792
2001	0.144742	0.285646	0.000000	0.000000	0.242554	0.560819	0.611686	0.364802	0.567130	0.515774
2002	0.431862	0.432237	0.000000	0.758987	0.317341	0.740687	0.680591	0.730100	0.728809	0.470768
2003	0.346581	0.389674	0.497733	0.634766	0.330073	0.454286	0.528769	0.000000	0.000000	0.636523
2004	0.346522	0.000000	0.000000	0.543588	0.273237	0.000000	0.000000	0.000000	0.000000	0.593869
2005	0.235302	0.300353	0.000000	0.532431	0.000000	0.000000	0.000000	0.000000	0.000000	0.480423
