Year	tarcisio bertone	livio maritano	giovanni saldarmi	milingo	giovanni saldarini	mario oliveri	grillo	monsignor giacomo barabino	emmanuel milingo	concelebrerà
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.000000	0.000000	0.564299	0.000000	0.445569	0.000000	0.065236	0.000000	0.000000	0.343655
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.390088	0.477793	0.493318	0.356142	0.521618	0.480257	0.038320	0.000000	0.000000	0.000000
1993	0.403023	0.775860	0.388862	0.397183	0.424172	0.577919	0.164648	0.711125	0.000000	0.000000
1994	0.364771	0.258193	0.320916	0.242651	0.247274	0.318762	-0.024882	0.000000	0.000000	0.392217
1995	0.493284	0.199506	0.512001	0.412749	0.525158	0.569564	0.038304	0.000000	0.000000	0.469786
1996	0.778877	0.662818	0.756528	0.730789	0.725340	0.729270	0.132193	0.714348	0.000000	0.531043
1997	0.000000	0.000000	0.737382	0.578026	0.738348	0.535286	0.012626	0.565950	0.000000	0.000000
1998	0.506986	0.571718	0.749428	0.556529	0.760638	0.637670	0.041043	0.514345	0.492226	0.522107
1999	0.000000	0.491067	0.727772	0.477687	0.688877	0.597032	0.270661	0.485031	0.000000	0.475195
2000	0.000000	0.000000	0.000000	0.483422	0.000000	0.000000	0.026532	0.000000	0.000000	0.000000
2001	0.528375	0.438903	0.000000	0.535490	0.000000	0.505069	0.061744	0.000000	0.708495	0.707538
2002	0.000000	0.000000	0.000000	0.413277	0.000000	0.458523	0.074400	0.000000	0.000000	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
