Year	arcangelo musso	rocco ventre	giancarlo rossi carpino	delmastro	bevacqua	ricci	boyer	mirate	scarpitti	oreste dominioni
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.000000	0.000000	0.000000	0.303770	0.249184	0.240822	0.167141	0.000000	0.000000	0.000000
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.000000	0.000000	0.000000	0.250115	0.000000	0.250042	0.281996	-0.014311	0.000000	0.000000
1972	0.000000	0.000000	0.000000	0.403268	0.197330	0.190274	0.374867	0.390861	0.000000	0.000000
1973	0.000000	0.000000	0.000000	0.282729	0.248263	0.195523	0.214578	0.046928	0.000000	0.000000
1974	0.000000	0.000000	0.000000	0.393579	0.340406	0.214402	0.308007	0.290690	0.000000	0.000000
1975	0.786530	0.000000	0.000000	0.293939	0.327340	0.227963	0.215573	0.164626	0.000000	0.000000
1976	0.000000	0.000000	0.000000	0.230897	0.165045	0.277463	0.440652	0.299547	0.000000	0.000000
1977	0.000000	0.000000	0.000000	0.243179	0.000000	0.173510	0.329384	0.312473	0.000000	0.000000
1978	0.000000	0.000000	0.000000	0.307805	0.158409	0.153973	0.233924	0.159677	0.000000	0.000000
1979	0.000000	0.000000	0.000000	0.388392	0.170520	0.198092	0.273149	0.345718	0.000000	0.000000
1980	0.000000	0.781014	0.000000	0.311286	0.136625	0.187234	0.132889	0.445723	0.000000	0.000000
1981	0.000000	0.000000	0.000000	0.262733	0.188804	0.023668	0.192779	0.297647	0.331997	0.000000
1982	0.000000	0.000000	0.000000	0.286062	0.265766	0.149645	0.292625	0.320673	0.000000	0.000000
1983	0.000000	0.565889	0.000000	0.191444	0.086924	0.023990	0.194165	0.206152	0.000000	0.000000
1984	0.000000	0.508815	0.000000	0.271201	0.246680	0.154369	0.304627	0.167692	0.000000	0.000000
1985	0.389503	0.000000	0.000000	0.119423	0.150464	0.167327	0.067606	0.236697	0.000000	0.000000
1986	0.602687	0.000000	0.000000	0.223212	0.154150	0.107033	0.170314	0.242796	0.000000	0.000000
1987	0.000000	0.000000	0.000000	0.249823	0.137121	0.203012	0.109385	0.234169	-0.079237	0.000000
1988	0.000000	0.000000	0.000000	0.187812	0.000000	0.230800	0.263844	0.025233	0.000000	0.000000
1989	0.000000	0.000000	0.463827	0.047905	0.000000	-0.030013	0.092417	-0.007474	0.000000	0.000000
1990	0.000000	0.000000	0.772173	0.290843	0.000000	0.151004	0.215106	0.223742	0.000000	0.000000
1991	0.000000	0.000000	0.555414	0.241066	0.122758	0.067738	0.040101	0.178657	0.000000	0.000000
1992	0.000000	0.000000	0.000000	0.227779	0.224480	0.027645	0.242460	0.279280	0.000000	0.000000
1993	0.000000	0.000000	0.000000	0.335309	0.200320	0.202112	0.100682	0.231577	0.000000	0.000000
1994	0.000000	0.000000	0.000000	0.344423	0.507473	0.094064	0.252241	0.276282	0.000000	0.751118
1995	0.288924	0.000000	0.000000	0.119620	0.142930	0.034715	0.022442	-0.015318	0.000000	0.552898
1996	0.000000	0.000000	0.000000	0.221835	0.143483	0.075342	0.153179	-0.114625	0.000000	0.391283
1997	0.000000	0.000000	0.000000	0.100189	0.167325	0.072572	0.200749	0.116711	0.000000	0.000000
1998	0.000000	0.000000	0.000000	0.308926	0.185413	0.025988	0.275634	0.144016	0.000000	0.000000
1999	0.000000	0.000000	0.000000	0.230899	0.000000	0.173314	0.238676	0.108068	0.000000	0.000000
2000	0.000000	0.000000	0.000000	0.181868	0.000000	0.281631	0.242090	0.105212	0.000000	0.000000
2001	0.000000	0.000000	0.000000	0.210975	0.283936	0.104115	0.216031	0.025849	0.000000	0.000000
2002	0.000000	0.000000	0.000000	0.231629	0.389241	0.200178	0.033118	-0.085692	0.000000	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
