Year	gorbaciov	fazio	james dobbins	gunnar jarring	richard bonynge	alexander haig	bruce	jarring	cyrus vance	eltsin
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.000000	0.152858	0.000000	0.748971	0.000000	0.000000	0.469372	0.294314	0.000000	0.000000
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.000000	0.179636	0.000000	0.000000	0.747608	0.000000	0.344167	0.000000	0.545712	0.000000
1981	0.148345	0.302497	0.000000	0.000000	0.000000	0.388981	0.215988	0.000000	0.000000	0.000000
1982	0.554134	0.258024	0.000000	0.000000	0.000000	0.434240	0.196630	0.000000	0.740193	0.000000
1983	0.432649	0.288533	0.000000	0.000000	0.513720	0.744660	0.190416	0.000000	0.000000	0.000000
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.256000	0.222264	0.000000	0.000000	0.000000	0.399870	0.202274	0.000000	0.000000	0.345997
1989	0.377137	0.196808	0.000000	0.000000	0.000000	0.000000	0.232690	0.000000	0.000000	0.375399
1990	0.318095	0.222695	0.000000	0.000000	0.000000	0.000000	0.001680	0.000000	0.000000	0.232655
1991	0.442381	0.058579	0.000000	0.000000	0.133332	0.000000	0.085875	0.000000	0.000000	0.381579
1992	0.331807	0.137040	0.000000	0.000000	0.082717	0.000000	0.163914	0.000000	0.000000	0.307532
1993	0.429736	0.015906	0.000000	0.000000	0.208597	0.000000	0.120806	0.000000	0.000000	0.301338
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.417811	0.432146	0.000000	0.000000	0.000000	0.000000	-0.022186	0.000000	0.000000	0.459934
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.304048	0.404763	0.000000	0.000000	0.000000	0.000000	0.095002	0.000000	0.000000	0.357337
2001	0.507447	0.293266	0.761131	0.000000	0.000000	0.000000	0.308605	0.000000	0.000000	0.497726
2002	0.403850	0.336497	0.000000	0.000000	0.000000	0.000000	0.292485	0.000000	0.000000	0.311352
2003	0.486286	0.361059	0.000000	0.000000	0.000000	0.000000	0.287041	0.000000	0.000000	0.336001
2004	0.488473	0.310165	0.000000	0.000000	0.000000	0.000000	0.431013	0.000000	0.000000	0.440201
2005	0.340897	0.338847	0.000000	0.000000	0.000000	0.000000	0.291066	0.000000	0.000000	0.333380
