Year	silvio moretti	piero denegri	attilio capuano	tommaso scarrone	fiom piemonte	pdci	savino pezzotta	roberto natale	orlandin	gian luigi guasco
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1988	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1989	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1990	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.402162	0.000000
1991	0.000000	0.598286	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.514304	0.000000
1992	0.000000	0.625653	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.619686	0.000000
1993	0.000000	0.624002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.499184	0.000000
1994	0.000000	0.545686	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.582358	0.000000
1995	0.000000	0.259469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.226369	0.000000
1996	0.000000	0.570130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1997	0.000000	0.000000	0.000000	0.000000	0.822064	0.000000	0.000000	0.000000	0.545453	0.000000
1998	0.653470	0.000000	0.000000	0.000000	0.695178	0.385110	0.000000	0.000000	0.457497	0.000000
1999	0.000000	0.000000	0.000000	0.000000	0.000000	0.432112	0.000000	0.000000	0.548785	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.000000	0.000000	0.000000	0.668555	0.000000	0.314429	0.436784	0.000000	0.534657	0.000000
2002	0.862786	0.837900	0.732799	0.826847	0.000000	0.454333	0.755640	0.802993	0.619321	0.802390
2003	0.000000	0.000000	0.834895	0.000000	0.000000	0.415910	0.803341	0.673964	0.000000	0.000000
2004	0.000000	0.000000	0.683318	0.000000	0.000000	0.349626	0.636321	0.636077	0.000000	0.000000
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
