Year	renzo piano	zoologo	paroliere	giampao	jlm	andrea rovere	aiel	custodirò	coro	fachiro
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.000000	0.406567	0.236320	0.000000	0.197764	0.000000	0.000000	0.000000	0.038645	0.264107
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.000000	0.041344	0.272758	0.000000	0.334673	0.000000	0.000000	0.000000	0.083555	0.217571
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.000000	0.253178	0.422326	0.000000	0.226434	0.000000	0.000000	0.000000	-0.008752	0.325017
1983	0.318139	0.168552	0.454723	0.000000	0.159441	0.000000	0.000000	0.000000	0.329425	0.200384
1984	0.461181	0.299241	0.467943	0.000000	0.354631	0.000000	0.000000	0.000000	0.001514	0.345679
1985	0.700360	0.180420	0.240563	0.000000	0.267165	0.000000	0.000000	0.000000	0.147561	0.239513
1986	0.423654	0.269551	0.392392	0.000000	0.196856	0.000000	0.000000	0.000000	0.086030	0.263657
1987	0.363307	0.390034	0.643209	0.000000	0.122877	0.000000	0.000000	0.000000	0.208980	0.198017
1988	0.299494	0.211870	0.143415	0.000000	0.315088	0.000000	0.000000	0.000000	-0.124586	0.133271
1989	0.200082	0.225828	0.401444	0.000000	0.261307	0.000000	0.000000	0.000000	0.049422	0.199426
1990	0.247733	0.190300	0.486495	0.000000	0.635940	0.000000	0.000000	0.000000	0.308338	0.629593
1991	0.380416	0.352347	0.217892	0.000000	0.240167	0.503610	0.000000	0.000000	-0.110821	0.127276
1992	0.231489	0.146479	0.331460	0.000000	0.226170	0.193530	0.000000	0.000000	0.162499	0.109325
1993	0.174957	0.125172	0.449574	0.000000	0.178042	0.141972	0.000000	0.000000	0.177371	0.447334
1994	0.317141	0.177866	0.321798	0.000000	0.170051	0.241250	0.000000	0.000000	0.080482	0.164795
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.473143	0.032768	0.252079	0.000000	0.000000	0.635857	0.000000	0.000000	0.073042	0.069056
1997	0.391447	0.271793	0.470070	0.000000	0.000000	0.259738	0.000000	0.000000	0.140072	0.339458
1998	0.296853	0.165674	0.258137	0.000000	0.000000	0.203097	0.000000	0.000000	0.097437	0.177846
1999	0.165413	0.208818	0.143316	0.000000	0.069308	0.356641	0.000000	0.000000	0.010267	-0.000376
2000	0.265689	0.290304	0.194352	0.138531	0.390591	0.223115	0.000000	0.000000	0.101772	0.111177
2001	0.263316	0.648756	0.249692	0.531387	0.000000	0.248461	0.635363	0.634056	-0.014393	0.227165
2002	0.167586	0.110340	0.191633	0.000000	0.000000	0.292493	0.000000	0.000000	0.113286	0.209994
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.000000	0.225251	0.071526	0.000000	0.000000	0.000000	0.000000	0.000000	0.189370	-0.126662
