Year	pdci	rifondazione fausto bertinotti	bettino craxi	daniele capezzone	ds piero fassino	giovanni spadolini	marco pollini	francesco de martino	giorgio la malfa	oliviero diliberto
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.771368	0.770694	0.000000
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.000000	0.787781	0.000000	0.000000	0.684408	0.000000	0.000000	0.000000	0.000000
1984	0.000000	0.000000	0.584494	0.000000	0.000000	0.643969	0.000000	0.000000	0.000000	0.000000
1985	0.000000	0.000000	0.494032	0.000000	0.000000	0.668048	0.000000	0.000000	0.372249	0.000000
1986	0.000000	0.000000	0.463704	0.000000	0.000000	0.778590	0.000000	0.000000	0.000000	0.000000
1987	0.000000	0.000000	0.490885	0.000000	0.000000	0.467571	0.000000	0.275715	0.554644	0.000000
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.000000	0.000000	0.489351	0.000000	0.000000	0.000000	0.000000	0.000000	0.454293	0.000000
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.000000	0.000000	0.297459	0.000000	0.000000	0.000000	0.000000	0.000000	0.391800	0.000000
1992	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.000000	0.470873	0.267501	0.000000	0.000000	0.000000	0.000000	0.000000	0.421584	0.000000
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.316518	0.000000	0.000000	0.552528	0.425691	0.000000	0.000000	0.000000	0.000000	0.435349
2002	0.510247	0.399378	0.000000	0.659252	0.721328	0.000000	0.505261	0.000000	0.000000	0.728233
2003	0.545425	0.611641	0.000000	0.730085	0.835632	0.000000	0.777593	0.000000	0.000000	0.766875
2004	0.513084	0.792928	0.000000	0.740441	0.809338	0.000000	0.727754	0.000000	0.000000	0.815608
2005	0.523129	0.792841	0.000000	0.786721	0.759138	0.000000	0.529657	0.000000	0.000000	0.598710
