Year	nattino	renzo guazzotti	franco ferrari	perani	angeleri	sacco	zanelli	panerò	lamberto giorgis	peppino molina
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.561875	0.000000	0.000000	0.084600	0.085866	0.021088	0.223597	0.129958	0.748506	0.565368
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.334293	0.000000	0.000000	0.191576	0.230157	0.066569	0.252067	0.314458	0.000000	0.000000
1979	0.415180	0.499525	0.000000	0.306964	0.348481	0.243605	0.391360	0.322975	0.000000	0.000000
1980	0.460280	0.769218	0.759546	0.545736	0.479309	0.080692	0.317526	0.451609	0.000000	0.745162
1981	0.220025	0.571940	0.000000	0.384397	0.194447	0.087534	0.257582	0.305690	0.000000	0.000000
1982	0.407167	0.602320	0.257867	0.376792	0.306630	0.227094	0.478872	0.198068	0.000000	0.000000
1983	0.157276	0.576471	0.303782	0.247563	0.249400	0.035909	0.310507	0.174543	0.000000	0.000000
1984	0.196968	0.000000	0.294217	0.212187	0.295822	0.124659	0.155297	0.178947	0.000000	0.000000
1985	0.127538	0.000000	0.243921	0.321310	0.114625	0.235033	0.396048	0.185157	0.000000	0.000000
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.252812	0.000000	0.439198	0.358347	0.286233	0.085595	0.403386	0.251907	0.000000	0.000000
1988	0.254535	0.506357	0.467658	0.395436	0.229162	0.116548	0.432662	0.334873	0.000000	0.000000
1989	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1990	0.202201	0.555726	0.473125	0.343353	0.118261	0.096840	0.257347	0.163921	0.000000	0.000000
1991	0.167262	0.000000	0.158030	0.110941	0.140555	0.003224	0.085384	0.033025	0.000000	0.000000
1992	0.233945	0.000000	0.387780	0.328619	0.363229	0.184784	0.409812	0.276349	0.000000	0.000000
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
