Year	lageard	^:	giovanni correnti	a.b.t	garbagnatl	drocco	perrod	torriell1	buesca	581.63.79
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.334115	0.787719	0.787370	0.785435	0.782109	0.780361	0.775520	0.775136	0.773562	0.773051
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.215847	0.000000	0.000000	0.000000	0.000000	0.406398	0.309017	0.000000	0.000000	0.000000
1987	0.353946	0.000000	0.000000	0.000000	0.000000	0.413880	0.259640	0.000000	0.000000	0.000000
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.260521	0.000000	0.000000	0.000000	0.000000	0.286103	0.195537	0.000000	0.000000	0.000000
1990	0.196152	0.000000	0.000000	0.000000	0.000000	0.391036	0.302096	0.000000	0.000000	0.000000
1991	0.151719	0.000000	0.000000	0.000000	0.000000	0.105505	0.071385	0.000000	0.000000	0.000000
1992	0.248152	0.000000	0.316746	0.000000	0.000000	-0.020375	-0.037742	0.000000	0.000000	0.000000
1993	0.348836	0.000000	0.220334	0.000000	0.000000	0.259020	0.000000	0.000000	0.000000	0.000000
1994	0.331396	0.129360	0.000000	0.000000	0.000000	0.261395	0.010340	0.000000	0.000000	0.000000
1995	0.233783	0.000000	0.000000	0.000000	0.000000	0.235002	0.189258	0.000000	0.000000	0.000000
1996	0.235982	0.353099	0.000000	0.000000	0.000000	0.303056	0.315919	0.000000	0.000000	0.000000
1997	0.373279	0.000000	0.000000	0.000000	0.000000	0.451657	0.000000	0.000000	0.000000	0.000000
1998	0.252658	0.309152	0.000000	0.000000	0.000000	0.227200	0.256907	0.000000	0.000000	0.000000
1999	0.099810	0.000000	0.000000	0.000000	0.000000	0.021618	0.012787	0.000000	0.000000	0.000000
2000	0.420956	0.000000	0.000000	0.000000	0.000000	0.407285	0.000000	0.000000	0.000000	0.000000
2001	0.279205	0.289251	0.000000	0.000000	0.000000	0.258045	0.000000	0.000000	0.000000	0.000000
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
