Year	aggiune	aldo rovito	claudio maria papotti	dino giacosa	corso bovio	santoni	andrea galasso	giangiacomo dapino	maria braggion	mucci
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.000000	0.000000	0.000000	0.000000	0.000000	0.048768	0.000000	0.000000	0.000000	0.267417
1980	0.000000	0.000000	0.000000	0.000000	0.000000	0.176018	0.000000	0.000000	0.000000	0.039598
1981	0.000000	0.000000	0.000000	0.000000	0.000000	0.156821	0.000000	0.000000	0.000000	0.269213
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.000000	0.000000	0.000000	0.000000	0.246819	0.514162	0.000000	0.000000	0.107036
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.000000	0.000000	0.000000	0.000000	0.000000	0.216347	0.400938	0.000000	0.000000	0.004765
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.000000	0.000000	0.000000	0.000000	0.000000	0.181684	0.398157	0.000000	0.000000	0.100953
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.000000	0.489823	0.000000	0.533532	0.000000	0.071807	0.550536	0.000000	0.000000	0.110752
1990	0.000000	0.000000	0.000000	0.572556	0.000000	0.116530	0.484857	0.482620	0.000000	0.318957
1991	0.000000	0.000000	0.000000	0.502957	0.000000	0.026803	0.340490	0.507415	0.000000	0.205184
1992	0.000000	0.570340	0.000000	0.000000	0.000000	0.031380	0.515899	0.616358	0.000000	0.404795
1993	0.000000	0.742807	0.000000	0.736914	0.736018	0.296100	0.729009	0.726437	0.436328	0.320484
1994	0.000000	0.000000	0.000000	0.000000	0.605412	0.138691	0.564547	0.447419	0.000000	0.240834
1995	-0.007460	0.292772	0.000000	0.000000	0.000000	0.217605	0.375149	0.432557	0.000000	-0.000002
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.752224	0.000000	0.740989	0.000000	0.000000	0.075036	0.000000	0.554974	0.000000	0.154584
1999	0.252658	0.000000	0.365407	0.469098	0.000000	0.012066	0.458020	0.572440	0.725485	0.314976
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
