Year	monsignor tarcisio bertone	ezio mascarino	claudio maria papotti	giovanni goria	ieri cavallo	michele giordano	antonio piras	vittorio chiusano	mario oliveri	adolfo guerrina
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.000000	0.000000	0.000000	0.409035	0.000000	0.000000	0.000000	0.256233	0.000000	0.000000
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1987	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1988	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1989	0.000000	0.000000	0.000000	0.336133	0.000000	0.287937	0.000000	0.411662	0.000000	0.000000
1990	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1991	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1992	0.756412	0.709851	0.000000	0.357850	0.000000	0.717834	0.000000	0.348003	0.407201	0.000000
1993	0.692761	0.000000	0.000000	0.342093	0.000000	0.666925	0.000000	0.371279	0.175681	0.000000
1994	0.611104	0.000000	0.000000	0.357165	0.000000	0.000000	0.000000	0.391344	0.481448	0.000000
1995	0.546222	0.000000	0.000000	0.381329	0.000000	0.432056	0.000000	0.507148	0.532594	0.299535
1996	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.422457	0.399429	0.000000
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.205535	0.000000	0.706159	0.702540	0.697340	0.304208	0.684547	0.482323	0.387366	0.000000
1999	0.000000	0.000000	0.227257	0.330552	0.000000	0.416347	0.000000	0.370832	0.679053	0.000000
2000	0.000000	0.000000	0.401663	0.000000	0.000000	0.000000	0.000000	0.680340	0.000000	0.675804
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.253518	0.000000	0.000000
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.000000	0.000000	0.282284	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
