Year	giorgio rubino	pinuccio botto	551030	paolo bruno	piovano	agfónls	748.936	﻿balon	bruno agosti	corrado racca
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.000000	0.000000	0.000000	0.000000	0.160453	0.000000	0.000000	0.000000	0.585643	0.000000
1983	0.000000	0.000000	0.000000	0.000000	0.113900	0.000000	0.000000	0.000000	0.509638	0.000000
1984	0.000000	0.000000	0.000000	0.000000	0.278411	0.000000	0.000000	0.000000	0.000000	0.000000
1985	0.000000	0.000000	0.000000	0.000000	0.161291	0.000000	0.000000	0.000000	0.570512	0.000000
1986	0.000000	0.000000	0.000000	0.000000	0.165111	0.000000	0.000000	0.000000	0.531474	0.000000
1987	0.000000	0.000000	0.000000	0.000000	-0.024686	0.000000	0.000000	0.000000	0.355251	0.000000
1988	0.000000	0.000000	0.000000	0.000000	0.125478	0.000000	0.000000	0.280470	0.000000	0.000000
1989	0.000000	0.000000	0.000000	0.000000	0.292781	0.000000	0.000000	0.226093	0.000000	0.597986
1990	0.000000	0.572801	0.000000	0.000000	0.281759	0.000000	0.000000	0.572490	0.000000	0.677963
1991	0.838242	0.818482	0.808918	0.806973	0.430543	0.801406	0.801226	0.797341	0.632509	0.808409
1992	0.000000	0.000000	0.000000	0.524245	0.264786	0.000000	0.447799	0.313940	0.000000	0.000000
1993	0.000000	0.406986	0.000000	0.640349	0.219975	0.000000	0.481188	0.400877	0.778558	0.000000
1994	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1995	0.000000	0.000000	0.000000	0.000000	0.257781	0.000000	0.000000	0.166492	0.450767	0.000000
1996	0.000000	0.000000	0.000000	0.024878	0.201908	0.000000	0.000000	0.366994	0.000000	0.000000
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.000000	0.000000	0.000000	0.000000	0.176436	0.000000	0.074433	0.298086	0.000000	0.000000
1999	0.000000	0.000000	0.000000	0.000000	0.302053	0.000000	0.214977	0.185883	0.000000	0.000000
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
