Year	josi	cernetti	matteoli	maccari	leo	zanetta	bracco	lodi	marziano marzano	luigi ceratti
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.317308	0.321349	0.261814	0.291186	0.294992	0.324941	0.289728	0.247976	0.000000	0.000000
1983	0.414991	0.116957	-0.046801	0.269677	0.090181	0.282467	0.178267	0.027482	0.000000	0.000000
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.409577	0.401277	0.035411	0.343246	0.218022	0.417471	0.244021	0.111933	0.525322	0.000000
1986	0.508126	0.271679	0.265894	0.456339	0.274083	0.416754	0.315964	0.182903	0.570137	0.000000
1987	0.483244	0.469946	0.317617	0.458797	0.304120	0.551059	0.423991	0.215556	0.787788	0.000000
1988	0.349901	0.428398	0.097424	0.262948	0.247820	0.380508	0.372821	0.198000	0.495143	0.000000
1989	0.517155	0.469382	0.404394	0.342861	0.303963	0.480884	0.485561	0.252758	0.748466	0.000000
1990	0.381977	0.351672	0.383943	0.292782	0.078281	0.389705	0.265204	0.144899	0.556511	0.000000
1991	0.194484	0.179871	0.323940	0.349504	0.270294	0.493677	0.251731	0.197319	0.453752	0.000000
1992	0.069539	-0.032436	0.240835	0.314380	0.129136	0.257968	0.138559	0.091394	0.652034	0.000000
1993	0.238398	0.307737	0.186149	0.254753	0.244668	0.380644	0.344162	0.060297	0.000000	0.000000
1994	0.212743	0.208856	0.207141	0.122679	0.189137	0.396110	0.265739	0.044543	0.000000	0.000000
1995	-0.044465	0.184255	0.263793	0.032921	0.150683	0.115075	0.198198	-0.103187	0.490260	0.781264
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2000	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2001	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
