Year	acerbi	josl	maccari	galasso	lodi	matteoli	josi	re	dondona	sergio giraudo
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.252862	0.362862	0.212288	0.230583	-0.115483	0.191321	0.264049	-0.234070	0.176624	0.000000
1985	0.275025	0.275370	0.384780	0.236066	0.167504	0.077966	0.328037	-0.005317	0.423295	0.630393
1986	0.351465	0.393099	0.234858	0.128194	0.273449	0.220936	0.432091	0.050379	0.305327	0.496291
1987	0.536411	0.493452	0.446163	0.465553	0.187154	0.345926	0.458211	0.031493	0.553594	0.696690
1988	0.237832	0.000000	0.136289	0.160341	0.187770	0.263921	0.265044	-0.086373	0.317435	0.606235
1989	0.358391	0.000000	0.309281	0.366097	0.200137	0.358838	0.475764	-0.109555	0.472987	0.779487
1990	0.328729	0.000000	0.268546	0.260634	0.253321	0.397073	0.305720	-0.076832	0.305122	0.503496
1991	0.125438	0.000000	0.310036	0.272826	0.105114	0.277809	0.281919	-0.119900	0.376069	0.557393
1992	0.052374	0.000000	0.336530	0.208723	0.078441	0.320337	0.150697	-0.067914	0.453578	0.521354
1993	0.340673	0.000000	0.341975	0.126007	-0.005069	0.027784	0.321718	-0.061392	0.576647	0.617920
1994	0.253288	0.000000	0.418012	0.310460	0.094937	0.280632	0.173896	-0.205580	0.374102	0.534695
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1997	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1998	0.243578	0.000000	0.281893	0.271294	-0.012108	0.431269	0.000000	-0.102239	0.393777	0.000000
1999	0.041347	0.000000	0.367271	0.265215	-0.067289	0.254487	0.000000	-0.018155	0.329201	0.000000
2000	0.053866	0.000000	0.351809	0.397710	0.066087	0.397917	0.309084	-0.033945	0.323673	0.000000
2001	0.042462	0.000000	0.110545	0.183727	0.072051	0.306103	0.086388	0.102696	0.387912	0.000000
2002	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
