Year	giulio griffi	nevio martini	renato viotto	piero quadrumolo	damiano piasco	doglione	giusto benedetti	giovanni bono	delucis	giancarlo drocco
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1978	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1979	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1984	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1985	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1986	0.000000	0.798024	0.791780	0.000000	0.826796	0.777053	0.776082	0.774777	0.769217	0.000000
1987	0.000000	0.000000	0.000000	0.000000	0.735963	0.505865	0.471558	0.000000	0.387966	0.000000
1988	0.000000	0.000000	0.000000	0.000000	0.000000	0.207988	0.535723	0.000000	0.478197	0.000000
1989	0.000000	0.000000	0.000000	0.000000	0.522246	0.434692	0.000000	0.000000	0.000000	0.000000
1990	0.000000	0.645934	0.000000	0.000000	0.000000	0.270336	0.000000	0.535971	0.347274	0.000000
1991	0.261554	0.000000	0.000000	0.000000	0.461776	0.297422	0.000000	0.000000	0.323268	0.537315
1992	0.000000	0.000000	0.000000	0.000000	0.530885	0.170936	0.000000	0.000000	0.383264	0.593670
1993	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1994	0.000000	0.000000	0.000000	0.000000	0.617885	0.465627	0.000000	0.268463	0.396330	0.581840
1995	0.000000	0.000000	0.000000	0.000000	0.000000	0.212138	0.000000	0.000000	0.222032	0.753620
1996	0.000000	0.000000	0.000000	0.000000	0.000000	0.186930	0.000000	0.000000	0.364658	0.779580
1997	0.000000	0.000000	0.000000	0.000000	0.000000	0.199940	0.000000	0.000000	0.263717	0.638635
1998	0.000000	0.000000	0.000000	0.000000	0.000000	0.295242	0.000000	0.000000	0.255985	0.695112
1999	0.561576	0.000000	0.000000	0.000000	0.000000	0.234372	0.000000	0.000000	0.249110	0.000000
2000	0.642930	0.000000	0.000000	0.000000	0.000000	0.276852	0.000000	0.000000	0.242453	0.000000
2001	0.813595	0.000000	0.000000	0.783081	0.000000	0.231779	0.000000	0.000000	0.077820	0.000000
2002	0.550791	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006185	0.000000
2003	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
