Michael ' Curti »	1962	1
Carlo Lizzani	1984	4
James Boswell	1984	3
Emir Rodrìguez	1984	3
﻿Carlo Lizzani	1984	2
De Gasperi	1984	2
Carlo Bescapé	1984	2
Werner Maser	1984	1
Valentino Tenco	1984	1
Ugo Baduel	1984	1
Tito Dedjer	1984	1
Thomas Mann	1984	1
Jòrn Donner	1984	1
Giulio Mancini	1984	1
Emile Vulllermoz	1984	1
Carlo Bascapè	1984	1
Guglielmo Gatti	1959	1
G. O. Griffith	1959	1
Dickson Carr	1959	1
Conan Doyle	1959	1
Vladimir Dedijer	1969	1
Maria Walewska	1969	1
Marco Cesarini Sforza	1969	1
Mans Otto Muensterer	1969	1
Giorgio Calcagno	1969	1
D' Ornano,-	1969	1
Bernard Thomas «	1969	1
Matteo Coltura	2001	4
Bin Laden	2001	3
Matteo Collura	2001	2
Lorenzo Calceato »	2001	2
Tom Antongini	2001	1
T.A. Shippey	2001	1
Scott Berg	2001	1
Peppino Prisco	2001	1
Matteo Collina	2001	1
Massimo Pini	2001	1
Juan Carlos	2001	1
James Lord	2001	1
Graham Turner	2001	1
Gino Monaldi	2001	1
Gino Agnese	2001	1
Don José Luis de Vìltalonga	2001	1
D' Annunzio	2001	1
D' Alema	2001	1
Bob Woodward	2001	1
Adam Ulam	2001	1
Lou Cannon	1985	2
Hiro Mio	1985	2
Eugenio Gara	1985	2
De Dominici	1985	2
Vladimir Dedljer	1985	1
Vitaliano Rocchlero	1985	1
Victor Hugo	1985	1
Sandro Setta	1985	1
San Francesco	1985	1
Sam Waagenar	1985	1
Roland Flamini	1985	1
Raymond Escholier	1985	1
Noel Annan	1985	1
Maurice Cranston	1985	1
Ludwig Nohl	1985	1
John Balnbrldge	1985	1
Hiro Hito	1985	1
Harry Ludi	1985	1
G. Guerzonl	1985	1
Francois Glbault	1985	1
Elliot Roosevelt	1985	1
Eberliard Betghe	1985	1
Ebcrhard Betghe	1985	1
Bram Stoker	1985	1
Albert Bigelow Paine	1985	1
Werner Maser	1988	1
Tecnologie Ronald Clark	1988	1
Ross Russell	1988	1
Robert Schneider	1988	1
Pier Paolo	1988	1
Parker Ross Russell	1988	1
Nico Naldini	1988	1
Michael MQHer	1988	1
Lou Cannon	1988	1
Leandre Vailiat	1988	1
Hugo Ball	1988	1
Giorgio Vasari	1988	1
Geoffrey Braithwaite	1988	1
Ernst Kantorowicz	1988	1
Eadmero da Canterbury	1988	1
Donald Duck	1988	1
Campana I	1988	1
Bukharin Stephen Co	1988	1
Bernardo De * Dominici	1988	1
Anthony Holden	1988	1
Al Taliaferro	1988	1
Tito « Minacciano	1982	3
Enrico Berlinguer	1982	3
Pietro Bianchi	1982	2
Carlo Magno	1982	2
don Orione	1982	1
Samuel Hopkins Adams	1982	1
Robert Rosenstone	1982	1
R. Blake	1982	1
Pier Carpi	1982	1
Parliamone CIRIACO De Mita	1982	1
Paolo Scandaletti	1982	1
John Reed	1982	1
Guido Gerosa	1982	1
Giuseppe Guerzoni	1982	1
Francisco de Ribera	1982	1
Don Domenico Sparpaglione	1982	1
Dominique Fernandez	1982	1
De Felice	1982	1
Cesare Pavese	1982	1
Richard Du Moulin	1977	1
Renzo De Felice	1977	1
Onofrio Bisofri	1977	1
Merle Miller	1977	1
Giuseppe Fiori	1977	1
Elvis Presley	1977	1
Di Vittorio	1977	1
De Medici Gabriele De Medici	1977	1
De Gaulle Parìa Lacouture	1977	1
Carlos Baker	1977	1
William Novak	1989	2
Richard Buckley	1989	2
Lou Cannon	1989	2
Lee Iacocca	1989	2
Edgardo Franciosini	1989	2
Bela Lugosi	1989	2
regina Vittoria	1989	1
Vladimir Dedjer	1989	1
Roger Icart	1989	1
Rodolfo il Glabro	1989	1
Ralph G. Martin	1989	1
Pier Francesco Gasparetto	1989	1
Norman Malcolm	1989	1
Nico Naldini	1989	1
Marcel Proust	1989	1
Lorenzo Gigli	1989	1
Lem Camion	1989	1
Jean Jacquart	1989	1
James Joyce	1989	1
Ivan Arnaldi	1989	1
Hubert C. Kennedy	1989	1
Henri Troyat	1989	1
Giulio Capitolino	1989	1
George Painter	1989	1
Ernest Jones	1989	1
De Mita »	1989	1
De Mi ta »	1989	1
David Robinson	1989	1
David Bronson	1989	1
Claudio Mauri	1989	1
Bernard Crick	1989	1
Benito Mussolini	1989	1
Auguste Cornu	1989	1
Arthur Schlesinger	1989	1
Gaetano Natale	1972	2
Scott Fitzgerald	1972	1
James Boswell	1972	1
Arthur Mizener	1972	1
Filippo II	1991	3
De Gaulle	1991	2
r. s. Secondo	1991	1
de Gaulle	1991	1
Tim Heald	1991	1
