Loris Marchetti	1996	1
Tobino narratore	1974	1
FRANCO BRUITA	1978	1
Irene Prosatore di Caltaglrone	1960	1
Hans Carossa	1956	1
Del Piero	1998	2
Bruno Barilli	1998	1
Giovanni Verga	1958	1
Censin Pich	1999	1
Aldo Nove	1999	1
Olorglo Manganelli	1984	1
D' Annunzio	1984	1
Orazio Antinori	1967	1
André Breton	1967	1
Umberto Saba	1964	1
Gabriele 0 Annunzio	1988	1
Rodolfo Wilcock	1972	1
Ugo Ojetti	1982	3
Max Roach	1982	1
FILOSOFIA Nietzsche	1992	1
Considero Gabriel Garcia Màrquez	1975	1
Andrey Voznesen	1975	1
De Lollis	1970	1
Vasti Stus	1985	1
Vasi !	1985	1
Plppo Baudo	1985	1
Radoi Ralin	1990	1
Leonardo Sinisgalli	1990	1
Ivajlo Petrov	1990	1
Charles Péguy	1990	1
Jean Prévost	1973	1
Danilo Lébrecht	1987	1
